type cat cluster
BK 3 3
BK 4 3
BK 5 3
BK 6 1
BK 7 3
BK 8 3
BK 1 5
BW 1 1
BW 2 1
BW 3 2
BW 5 1
BW 8 1
BW 10 3
BW 11 1
BW 13 3
BW 16 1
BW 18 2
BW 19 3
BW 20 3
BW 23 2
BW 24 1
CL 5 2
CL 6 0
CL 7 0
CL 9 3
CL 10 5
CL 11 1
CL 13 1
CL 14 0
CL 15 0
CL 18 0
CL 19 0
CL 1 0
CL 20 2
CL 22 1
CL 23 2
CL 2 1
CL 4 0
GR 1 3
GW 2 0
GW 3 0
GW 4 1
GW 5 3
GW 6 0
GW 7 1
GW 8 2
GW 14 2
GW 14 0
OG 1 2
OG 2 4
OG 3 2
OG 5 4
OG 6 4
OW 5 4
OW 7 2
OW 8 4
OW 9 2
OW 10 4
OW 11 2
OW 1 0
OW 2 2
RD 1 1
SM 1 5
TB 7 0
TB 10 4
TB 11 4
TB 13 5
TB 16 1
TB 19 5
TB 24 5
TB 26 0
TB 27 4
TB 28 4
TB 29 4
TB 30 1
TB 33 0
TB 34 0
TB 35 2
TB 3 3
TB 40 2
TB 41 0
TB 42 1
TB 44 1
TB 47 1
TS 2 5
TS 3 1
TS 4 5
TS 5 1
TS 7 5
TS 8 3
TW 6 0
TW 12 1
TW 17 1
TW 18 2
TW 1 1
TW 21 1
TW 22 1
TW 25 0
TW 31 1
TW 32 0
TW 36 1
TW 37 1
TW 45 1
TW 46 2
WT 1 0
WT 2 2
WT 3 0
WT 4 0
WT 6 0
